"trial_name","trial_number","response","RT","optionLeft","optionRight","QUD","question","picture","pictureFormat","color","category","startDate","startTime","age","gender","languages","comments","endTime","timeSpent","experiment_id",
"rate_personality","1","7","4988","Trifft gleichermaßen auf Menschen und Tiere zu","Trifft nur auf Menschen zu","Wie bewerten sie das folgende Merkmal?","Selbstsicherheit","NA","NA","NA","NA","Fri Jun 14 2019 18:01:29 GMT+0200 (Mitteleuropäische Sommerzeit)","1560528089680","20","weiblich","deutsch","","1560528597574","8.4649","INSERT_A_NUMBER",
"rate_personality","2","8","3109","Trifft gleichermaßen auf Menschen und Tiere zu","Trifft nur auf Menschen zu","Wie bewerten sie das folgende Merkmal?","Gewissenhaftigkeit","NA","NA","NA","NA","Fri Jun 14 2019 18:01:29 GMT+0200 (Mitteleuropäische Sommerzeit)","1560528089680","20","weiblich","deutsch","","1560528597574","8.4649","INSERT_A_NUMBER",
"rate_personality","3","2","8180","Trifft gleichermaßen auf Menschen und Tiere zu","Trifft nur auf Menschen zu","Wie bewerten sie das folgende Merkmal?","Dominanz","NA","NA","NA","NA","Fri Jun 14 2019 18:01:29 GMT+0200 (Mitteleuropäische Sommerzeit)","1560528089680","20","weiblich","deutsch","","1560528597574","8.4649","INSERT_A_NUMBER",
"rate_personality","4","8","5009","Trifft gleichermaßen auf Menschen und Tiere zu","Trifft nur auf Menschen zu","Wie bewerten sie das folgende Merkmal?","Höflichlichkeit","NA","NA","NA","NA","Fri Jun 14 2019 18:01:29 GMT+0200 (Mitteleuropäische Sommerzeit)","1560528089680","20","weiblich","deutsch","","1560528597574","8.4649","INSERT_A_NUMBER",
"rate_personality","5","6","4713","Trifft gleichermaßen auf Menschen und Tiere zu","Trifft nur auf Menschen zu","Wie bewerten sie das folgende Merkmal?","Extrovertiertheit","NA","NA","NA","NA","Fri Jun 14 2019 18:01:29 GMT+0200 (Mitteleuropäische Sommerzeit)","1560528089680","20","weiblich","deutsch","","1560528597574","8.4649","INSERT_A_NUMBER",
"rate_personality","6","4","2642","Trifft gleichermaßen auf Menschen und Tiere zu","Trifft nur auf Menschen zu","Wie bewerten sie das folgende Merkmal?","Freundlichkeit","NA","NA","NA","NA","Fri Jun 14 2019 18:01:29 GMT+0200 (Mitteleuropäische Sommerzeit)","1560528089680","20","weiblich","deutsch","","1560528597574","8.4649","INSERT_A_NUMBER",
"rate_personality","7","1","4805","Trifft gleichermaßen auf Menschen und Tiere zu","Trifft nur auf Menschen zu","Wie bewerten sie das folgende Merkmal?","Agressivität","NA","NA","NA","NA","Fri Jun 14 2019 18:01:29 GMT+0200 (Mitteleuropäische Sommerzeit)","1560528089680","20","weiblich","deutsch","","1560528597574","8.4649","INSERT_A_NUMBER",
"rate_personality","8","3","4130","Trifft gleichermaßen auf Menschen und Tiere zu","Trifft nur auf Menschen zu","Wie bewerten sie das folgende Merkmal?","Sensibilität","NA","NA","NA","NA","Fri Jun 14 2019 18:01:29 GMT+0200 (Mitteleuropäische Sommerzeit)","1560528089680","20","weiblich","deutsch","","1560528597574","8.4649","INSERT_A_NUMBER",
"rate_personality","9","3","6271","Trifft gleichermaßen auf Menschen und Tiere zu","Trifft nur auf Menschen zu","Wie bewerten sie das folgende Merkmal?","Vertrauenswürdigkeit","NA","NA","NA","NA","Fri Jun 14 2019 18:01:29 GMT+0200 (Mitteleuropäische Sommerzeit)","1560528089680","20","weiblich","deutsch","","1560528597574","8.4649","INSERT_A_NUMBER",
"rate_personality","10","4","4743","Trifft gleichermaßen auf Menschen und Tiere zu","Trifft nur auf Menschen zu","Wie bewerten sie das folgende Merkmal?","Geduld","NA","NA","NA","NA","Fri Jun 14 2019 18:01:29 GMT+0200 (Mitteleuropäische Sommerzeit)","1560528089680","20","weiblich","deutsch","","1560528597574","8.4649","INSERT_A_NUMBER",
